Job Name,Company Name,Tag,Level,Location
Lập Trình Viên C/. Dự Án Bank,Công ty Cổ phần Giải pháp Công nghệ TTC Việt Nam,Chuyên môn Software Engineer,Nhân viên,"- Hà Nội: 21 Cát Linh, Đống Đa - Hà Nội: Tòa Tràng An, Hoàng Quốc Việt, Cầu Giấy - Hà Nội: 36 Giang Văn Minh, Ba Đình"
Lập Trình Viên C/. Dự Án Bank,Công ty Cổ phần Giải pháp Công nghệ TTC Việt Nam,IT - Phần mềm,Nhân viên,"- Hà Nội: 21 Cát Linh, Đống Đa - Hà Nội: Tòa Tràng An, Hoàng Quốc Việt, Cầu Giấy - Hà Nội: 36 Giang Văn Minh, Ba Đình"
Lập Trình Viên C/. Dự Án Bank,Công ty Cổ phần Giải pháp Công nghệ TTC Việt Nam,Nghỉ thứ 7,Nhân viên,"- Hà Nội: 21 Cát Linh, Đống Đa - Hà Nội: Tòa Tràng An, Hoàng Quốc Việt, Cầu Giấy - Hà Nội: 36 Giang Văn Minh, Ba Đình"
Backend Developer,Apero Technologies Group,Chuyên môn Backend Developer,Nhân viên,"- Hà Nội: 289 Khuất Duy Tiến, Đại Mỗ, Thanh Xuân - Hồ Chí Minh: Số 3 Nguyễn Lương Bằng, Quận 7"
Backend Developer,Apero Technologies Group,Nghỉ thứ 7,Nhân viên,"- Hà Nội: 289 Khuất Duy Tiến, Đại Mỗ, Thanh Xuân - Hồ Chí Minh: Số 3 Nguyễn Lương Bằng, Quận 7"
Phó Tổng Giám Đốc Hà Nội,Công ty Cổ phần Tập đoàn Meey Land,Chuyên môn Data Scientist,Giám đốc,"- Hà Nội: 97-99 Láng Hạ, Đống Đa"
Phó Tổng Giám Đốc Hà Nội,Công ty Cổ phần Tập đoàn Meey Land,IT - Phần mềm,Giám đốc,"- Hà Nội: 97-99 Láng Hạ, Đống Đa"
Phó Tổng Giám Đốc Hà Nội,Công ty Cổ phần Tập đoàn Meey Land,Bất động sản,Giám đốc,"- Hà Nội: 97-99 Láng Hạ, Đống Đa"
Phó Tổng Giám Đốc Hà Nội,Công ty Cổ phần Tập đoàn Meey Land,Tài chính,Giám đốc,"- Hà Nội: 97-99 Láng Hạ, Đống Đa"
Phó Tổng Giám Đốc Hà Nội,Công ty Cổ phần Tập đoàn Meey Land,Tuổi 35 - 50,Giám đốc,"- Hà Nội: 97-99 Láng Hạ, Đống Đa"
Business Analyst BA,CÔNG TY CỔ PHẦN TRUYỀN THÔNG VĂN HOÁ VIỆT,Chuyên môn Business Analyst (Phân tích nghiệp vụ),Trưởng nhóm,"- Hà Nội: Tầng 3, Tòa Tháp Đông, Chung cư Học viện Quốc Phòng, Xuân La, Tây Hồ"
