Job Name,Company Name,Location,Level
Lập Trình Viên Back-End Java,CÔNG TY TNHH MỘT THÀNH VIÊN CÔNG NGHỆ VÀ THƯƠNG MẠI WIINVENT,"- Hà Nội: 96 Hoàng Ngân, Cầu Giấy",Nhân viên
Tester Tiếng Nhật,CÔNG TY TNHH MUMESOFT INNOVATION,"- Hà Nội: Tầng 6, số 12 Mễ Trì Hạ, phường Mễ Trì, Nam Từ Liêm",Trưởng nhóm
Trưởng Nhóm Business Analyst,CÔNG TY CỔ PHẦN LIFETEX,"- Hà Nội: HH2 Bắc Hà, Nhân Chính, Thanh Xuân",Trưởng nhóm
IOS Developer,CÔNG TY CỔ PHẦN CÔNG NGHỆ ALPHAWAY,"- Hà Nội: 21 Cát Linh, Đống Đa",Trưởng nhóm
Android Developer Hà Nội,CÔNG TY TNHH PIONTECH SOFTWARE,"- Hà Nội: Tầng 7 - số 6 ngõ 66a Triều Khúc, Thanh Xuân",Nhân viên
Nhân Viên Hỗ Trợ ERP,Công ty cổ phần Canifa,"- Hà Nội: 170 Đê La Thành, Đống Đa",Nhân viên
AI Engineer,CÔNG TY TNHH VETC DIGITAL,"- Hà Nội: Tasco Building, HH2-2, Phạm Hùng, Nam Từ Liêm",Nhân viên
Manual Tester Bank,CÔNG TY CỔ PHẦN PARALINE SOFTWARE,"- Hà Nội: 18 Lê Văn Lương, Trung Hòa, Cầu Giấy, Thanh Xuân",Trưởng nhóm
Giảng Viên Công Nghệ Thông Tin Khoa Học,Trường Đại học CMC,"- Hà Nội: 84C Nguyễn Thanh Bình, Hà Đông",Nhân viên
Database Administrator,CÔNG TY TNHH ĐẦU TƯ TẬP ĐOÀN MẶT TRỜI,"- Hà Nội: Sun City, 13 Hai Bà Trưng, Hoàn Kiếm, Hai Bà Trưng",Nhân viên
Game Tester,Công ty VTC Online,"- Hà Nội: Tòa nhà VTC Online, 18 Tam Trinh, Hai Bà Trưng",Nhân viên
AI Engineer,CÔNG TY TNHH GIẢI PHÁP CÔNG NGHỆ APOLLO,"- Hà Nội: Duy Tân, Cầu Giấy",Nhân viên
Project Manager,CÔNG TY CỔ PHẦN CÔNG NGHỆ SICIX,"- Hà Nội: Tháp Tây, Chung cư học viện bộ Quốc phòng, Xuân La, Tây Hồ",Trưởng/Phó phòng
Game Tester,Winter Wolf - IEC Games,"- Hà Nội: Hoàng Đạo Thuý, Cầu Giấy",Thực tập sinh
Software Engineer Java,Công ty Cổ phần Công nghệ KiotViet,"- Hà Nội: 1A Yết Kiêu - Phường Cửa Nam, Hoàn Kiếm",Nhân viên
Trưởng Nhóm Phân Tích Nghiệp Vụ,CÔNG TY CỔ PHẦN ĐẦU TƯ CÔNG NGHỆ HOÀNG HUY,"- Hà Nội: Linh Đàm, Hoàng Mai",Trưởng nhóm
ReactJs Developer,Công ty Cổ phần Công nghệ Tài chính Goline,"- Hà Nội: Tòa Nhà Kim Ánh, 78 Duy Tân, Cầu Giấy",Nhân viên
Manual Tester QA,Công ty cổ phần BUFF Fintech,"- Hà Nội: Tầng M, Yên Hòa ParkView, số 3 Vũ Phạm Hàm, Cầu Giấy",Nhân viên
IT Analyst,CÔNG TY CỔ PHẦN GREEN SPEED,"- Hà Nội: Lot 41A & B, Quang Minh IZ, Mê Linh",Nhân viên
2D Game Artist Hà Nội,Văn phòng đại diện NSTAGE INC tại thành phố Hà Nội,"- Hà Nội: đường Hoàng Đạo Thúy, phường Trung Hòa, Cầu Giấy",Nhân viên
Kỹ Thuật Viên,CÔNG TY CỔ PHẦN ĐẦU TƯ VÔ VI,"- Hà Nội: 131 Thịnh Quang, Đống Đa",Nhân viên
,CÔNG TY TNHH MỘT THÀNH VIÊN AN NINH MẠNG VIETTEL,"- Hà Nội: Keangnam Landmark 72, Phạm Hùng, Từ Liêm",Nhân viên
,Công ty cổ phần TechLead,"- Hà Nội: Tầng 4 - Số 11 Nguyển Xiển - Thanh Xuân, Thanh Xuân",Trưởng nhóm
Mobile Developer,CÔNG TY CP THƯƠNG MẠI XUẤT NHẬP KHẨU PHƯƠNG KHANG,"- Hà Nội: IP3 Imperial Plaza 360 Giải Phóng, Phương Liệt, Thanh Xuân, Thanh Xuân",Nhân viên
Nhân Viên Vận Hành Hệ Thống,Công Ty TNHH Thương Mại & Xuất Nhập Khẩu Nhất Lâm,"- Hà Nội: H18+19 Ngõ 68 Trung Kín, Cầu Giấy",Nhân viên
Kỹ Sư,FPT Software,"- Hà Nội: Khu công nghệ cao Hòa Lạc, Thạch Thất",Nhân viên
